Feature 1,Feature 2,Label
4.94E-01,9.06E-01,1.00E+00
8.72E-01,-3.56E-01,2.00E+00
-9.02E-03,1.33E-01,2.00E+00
-5.78E-01,1.00E+00,1.00E+00
-4.38E-01,1.04E+00,1.00E+00
2.37E+00,-1.37E-01,2.00E+00
2.41E+00,1.77E-01,2.00E+00
-1.80E-01,2.01E-01,2.00E+00
-1.30E+00,8.51E-01,1.00E+00
2.01E+00,-3.01E-01,2.00E+00
-4.51E-01,1.01E+00,1.00E+00
-8.75E-01,2.72E-02,2.00E+00
-3.58E-01,1.14E+00,1.00E+00
-2.20E+00,8.73E-01,1.00E+00
2.08E+00,1.03E+00,1.00E+00
1.37E+00,-2.98E-02,2.00E+00
1.79E+00,4.94E-02,2.00E+00
7.37E-01,-5.53E-02,2.00E+00
6.18E-01,1.21E+00,1.00E+00
-5.40E-01,2.99E-02,2.00E+00
2.58E+00,-1.25E-01,2.00E+00
-8.03E-01,7.95E-01,1.00E+00
6.56E-01,-1.10E-01,2.00E+00
-3.55E-02,1.09E+00,1.00E+00
4.30E-01,6.32E-02,2.00E+00
1.30E-01,-5.90E-02,2.00E+00
-4.49E-01,8.58E-01,1.00E+00
-2.84E-02,4.47E-02,2.00E+00
8.30E-01,-1.91E-02,2.00E+00
-2.05E+00,9.99E-01,1.00E+00
-7.73E-01,9.19E-01,1.00E+00
-8.16E-01,1.07E+00,1.00E+00
3.38E-01,-1.69E-01,2.00E+00
1.08E+00,7.98E-02,2.00E+00
1.84E+00,-5.90E-02,2.00E+00
8.06E-01,7.73E-01,1.00E+00
1.92E+00,1.21E+00,1.00E+00
8.03E-01,-1.29E-02,2.00E+00
-4.87E-01,9.44E-01,1.00E+00
-1.12E+00,-1.01E-01,2.00E+00
1.51E+00,2.07E-01,2.00E+00
2.69E-01,8.19E-01,1.00E+00
1.70E-01,-4.66E-01,2.00E+00
1.46E-03,1.05E+00,1.00E+00
7.01E-01,1.15E+00,1.00E+00
-1.56E+00,1.22E+00,1.00E+00
-4.97E-01,6.52E-01,1.00E+00
1.16E+00,-2.10E-01,2.00E+00
4.47E-01,-1.22E-01,2.00E+00
2.31E-01,8.50E-01,1.00E+00
-1.33E+00,1.04E+00,1.00E+00
2.11E+00,1.83E-02,2.00E+00
7.58E-01,1.03E+00,1.00E+00
-7.43E-01,1.04E+00,1.00E+00
8.64E-01,1.01E+00,1.00E+00
-1.33E+00,9.11E-01,1.00E+00
2.30E+00,-1.04E-01,2.00E+00
1.09E+00,1.87E-01,2.00E+00
2.50E+00,6.07E-02,2.00E+00
4.11E-01,8.01E-01,1.00E+00
1.33E+00,1.06E+00,1.00E+00
1.44E+00,2.01E-01,2.00E+00
1.23E+00,1.21E+00,1.00E+00
2.73E+00,1.73E-01,2.00E+00
-4.63E-01,9.17E-01,1.00E+00
-1.56E+00,1.04E+00,1.00E+00
8.69E-01,1.03E+00,1.00E+00
1.76E-01,9.81E-01,1.00E+00
-3.62E+00,9.18E-01,1.00E+00
1.85E+00,-1.21E-02,2.00E+00
1.29E+00,-2.34E-01,2.00E+00
-5.80E-01,1.09E+00,1.00E+00
7.48E-01,-2.49E-01,2.00E+00
-2.57E-01,1.12E+00,1.00E+00
2.90E+00,1.17E+00,1.00E+00
1.61E+00,-7.94E-03,2.00E+00
1.73E+00,-5.68E-02,2.00E+00
-1.02E+00,6.54E-01,1.00E+00
-3.42E-02,-1.45E-01,2.00E+00
-7.19E-01,1.62E-01,2.00E+00
1.68E+00,1.95E-01,2.00E+00
-1.76E+00,7.91E-01,1.00E+00
-5.87E-01,1.03E+00,1.00E+00
5.16E-02,8.55E-01,1.00E+00
7.71E-01,4.22E-02,2.00E+00
2.73E+00,-1.54E-01,2.00E+00
-1.46E+00,1.08E+00,1.00E+00
-5.82E-01,1.01E-01,2.00E+00
-4.00E-01,1.06E+00,1.00E+00
9.28E-02,-2.45E-02,2.00E+00
1.80E+00,-4.94E-01,2.00E+00
2.23E+00,-2.68E-02,2.00E+00
7.47E-01,-1.62E-01,2.00E+00
1.87E+00,8.04E-02,2.00E+00
-4.30E-01,1.14E+00,1.00E+00
2.94E-01,1.11E-01,2.00E+00
7.90E-01,4.86E-02,2.00E+00
-1.41E+00,9.37E-01,1.00E+00
-2.23E+00,1.14E+00,1.00E+00
-1.40E+00,9.78E-01,1.00E+00
